periodo,periodo_inicio,periodo_fim,gmv_bruto_total,gmv_liquido_total,reembolso_total,pedidos_total,creators_ativas,creators_total,videos_total,lives_total,comissao_total,aov_medio,refund_rate_pct,dias_cobertos,dias_mes,periodo_parcial,gmv_liquido_projetado,gmv_bruto_total_delta_pct,gmv_liquido_total_delta_pct,pedidos_total_delta_pct,creators_ativas_delta_pct
2026-01,2026-01-06,2026-01-31,561035.16,526260.12,34775.04,7116,169,843,906,2282,55893.65,73.95,6.2,26,31,True,627463.99,0.0,0.0,0.0,0.0
2026-02,2026-02-01,2026-02-28,778309.96,680840.72,97469.24,9513,300,1644,1905,4145,76173.93,71.57,12.52,28,28,False,680840.72,38.7,29.4,33.7,77.5
2026-03,2026-03-01,2026-03-31,695422.13,571732.12,123690.01,8447,348,2206,2843,7601,57213.11,67.68,17.79,31,31,False,571732.12,-10.6,-16.0,-11.2,16.0
2026-04,2026-04-01,2026-04-11,262302.96,231316.91999999998,30986.04,3132,189,1109,1070,3210,21828.03,73.86,11.81,11,30,True,630864.33,-62.3,-59.5,-62.9,-45.7
